	Phylum
1079_Bacteria_Firmicutes_Clostridia_Clostridiales__Tissierellaceae__WAL_1855D_WAL_1855D_unclassified_	Firmicutes
107_Bacteria_Bacteroidetes__Saprospirae___Saprospirales__Chitinophagaceae_Chitinophagaceae_unclassified_Chitinophagaceae_unclassified_	Bacteroidetes
1080_Bacteria_Acidobacteria_Acidobacteriia_Acidobacteriales_Acidobacteriaceae_Acidobacteriaceae_unclassified_Acidobacteriaceae_unclassified_	Acidobacteria
1081_Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Rhizobiales_unclassified_73__Rhizobiales_unclassified_73__Rhizobiales_unclassified_73__	Proteobacteria
1082_Bacteria_Proteobacteria_Alphaproteobacteria_Caulobacterales_Caulobacteraceae_Brevundimonas_89__Brevundimonas_unclassified_84__	Proteobacteria
1083_Bacteria_Proteobacteria_Betaproteobacteria_Betaproteobacteria_unclassified_Betaproteobacteria_unclassified_Betaproteobacteria_unclassified_Betaproteobacteria_unclassified_	Proteobacteria
1084_Bacteria_Cyanobacteria_Nostocophycideae_Nostocales_Nostocaceae_Nostoc_67__Nostoc_unclassified_67__	Cyanobacteria
1085_Bacteria_Planctomycetes_Planctomycetia_Gemmatales_Gemmataceae_89__Gemmataceae_unclassified_89__Gemmataceae_unclassified_89__	Planctomycetes
1086_Bacteria_Cyanobacteria_4C0d-2_SM1D11_SM1D11_unclassified_SM1D11_unclassified_SM1D11_unclassified_	Cyanobacteria
1087_Bacteria_Verrucomicrobia__Spartobacteria___Chthoniobacterales___Chthoniobacterales__unclassified__Chthoniobacterales__unclassified__Chthoniobacterales__unclassified_	Verrucomicrobia
1088_Bacteria_Acidobacteria_Acidobacteriia_Acidobacteriales_Acidobacteriaceae_Acidobacteriaceae_unclassified_Acidobacteriaceae_unclassified_	Acidobacteria
1089_Bacteria_Proteobacteria_Gammaproteobacteria_Legionellales_Coxiellaceae_89__Coxiellaceae_unclassified_89__Coxiellaceae_unclassified_89__	Proteobacteria
108_Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Thermomonosporaceae_97__Thermomonosporaceae_unclassified_86__Thermomonosporaceae_unclassified_86__	Actinobacteria
1090_Bacteria_Acidobacteria_Acidobacteriia_Acidobacteriales_Acidobacteriaceae_Acidobacteriaceae_unclassified_83__Acidobacteriaceae_unclassified_83__	Acidobacteria
1091_Bacteria_Others_Others_unclassified_Others_unclassified_Others_unclassified_Others_unclassified_Others_unclassified_	Bacteria_unclassified
1092_Bacteria_Chloroflexi_Chloroflexi_AKIW781_AKIW781_unclassified_AKIW781_unclassified_AKIW781_unclassified_	Chloroflexi
1093_Bacteria_Proteobacteria_Alphaproteobacteria_BD7-3_BD7-3_unclassified_BD7-3_unclassified_BD7-3_unclassified_	Proteobacteria
1094_Bacteria_Cyanobacteria_Oscillatoriophycideae_Chroococcales_Xenococcaceae_Xenococcaceae_unclassified_Xenococcaceae_unclassified_	Cyanobacteria
1095_Bacteria_Cyanobacteria_Oscillatoriophycideae_Chroococcales_Xenococcaceae_Xenococcaceae_unclassified_Xenococcaceae_unclassified_	Cyanobacteria
1096_Bacteria_Proteobacteria_Alphaproteobacteria_Caulobacterales_Caulobacteraceae_Caulobacteraceae_unclassified_59__Caulobacteraceae_unclassified_59__	Proteobacteria
1097_Bacteria_Proteobacteria_Betaproteobacteria_Betaproteobacteria_unclassified_Betaproteobacteria_unclassified_Betaproteobacteria_unclassified_Betaproteobacteria_unclassified_	Proteobacteria
1098_Bacteria_Verrucomicrobia__Methylacidiphilae__Methylacidiphilales_Methylacidiphilales_unclassified_Methylacidiphilales_unclassified_Methylacidiphilales_unclassified_	Verrucomicrobia
1099_Bacteria_Bacteria_unclassified_Bacteria_unclassified_Bacteria_unclassified_Bacteria_unclassified_Bacteria_unclassified_Bacteria_unclassified_	Bacteria_unclassified
