OTU	Size	Taxonomy
Otu00076	4851	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales_unclassified;Rhizobiales_unclassified;Rhizobiales_unclassified;
Otu00077	4833	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidocella;Acidocella_unclassified;
Otu00078	4761	Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Terriglobus(99);Terriglobus_unclassified(99);
Otu00079	4657	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;glathei(70);
Otu00080	4542	Bacteria;Verrucomicrobia;[Spartobacteria];[Chthoniobacterales];[Chthoniobacteraceae](54);[Chthoniobacteraceae]_unclassified(52);[Chthoniobacteraceae]_unclassified(52);
Otu00081	4528	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacteraceae_unclassified;Caulobacteraceae_unclassified;
Otu00082	4524	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Conexibacteraceae;Conexibacteraceae_unclassified;Conexibacteraceae_unclassified;
Otu00083	4434	Bacteria;Verrucomicrobia;[Spartobacteria];[Chthoniobacterales];[Chthoniobacteraceae](84);[Chthoniobacteraceae]_unclassified(84);[Chthoniobacteraceae]_unclassified(84);
Otu00084	4240	Bacteria;Bacteria_unclassified;Bacteria_unclassified;Bacteria_unclassified;Bacteria_unclassified;Bacteria_unclassified;Bacteria_unclassified;
Otu00085	4183	Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Acidobacteriaceae_unclassified;Acidobacteriaceae_unclassified;
Otu00086	4138	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Methylobacterium;adhaesivum;
Otu00087	4117	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter(52);Mucilaginibacter_unclassified(52);
Otu00088	4070	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas(87);Brevundimonas_unclassified(80);
Otu00089	3925	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales_unclassified(97);Rhizobiales_unclassified(97);Rhizobiales_unclassified(97);
Otu00090	3868	Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Acidobacteriaceae_unclassified;Acidobacteriaceae_unclassified;
Otu00091	3807	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Beijerinckiaceae_unclassified(93);Beijerinckiaceae_unclassified(93);
Otu00092	3691	Bacteria;Verrucomicrobia;[Methylacidiphilae];Methylacidiphilales;Methylacidiphilales_unclassified;Methylacidiphilales_unclassified;Methylacidiphilales_unclassified;
Otu00093	3610	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacteraceae_unclassified;Acetobacteraceae_unclassified;
Otu00094	3548	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonadaceae_unclassified(97);Comamonadaceae_unclassified(97);
Otu00095	3430	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter;jinjuensis(99);
Otu00096	3403	Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Acidobacteriaceae_unclassified;Acidobacteriaceae_unclassified;
Otu00097	3397	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Phenylobacterium(98);Phenylobacterium_unclassified(98);
Otu00098	3382	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Rhodospirillaceae_unclassified;Rhodospirillaceae_unclassified;
Otu00099	3348	Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Acidobacteriaceae_unclassified;Acidobacteriaceae_unclassified;
